species
Bauhinia rufa
Apuleia leiocarpa
Vismia micrantha
Dalbergia villosa
Vochysia tucanorum
Vitex sellowiana
Monteverdia radlkoferiana
Tetrastylidium grandifolium
Cybistax antisyphilitica
Lecythis lanceolata
Piptadenia gonoacantha
Ladenbergia hexandra
Gaylussacia brasiliensis
Galipea jasminiflora
Guatteria australis
Casearia arborea
Guarea kunthiana
Machaerium villosum
Couratari macrosperma
Couepia carautae
Dalbergia foliolosa
Jacaranda obovata
Lychnophora sellowii
Solanum granulosoleprosum
Myrcia tenuifolia
Guarea blanchetii
Astronium fraxinifolium
Clethra scabra
Eugenia dichroma
Wunderlichia mirabilis
Cabralea canjerana
Senna pendula
Posoqueria latifolia
Campomanesia simulans
Eugenia tenuipedunculata
Myrcia obovata
Myrcia floridissima
Eugenia cymatodes
NA
Vitex megapotamica
Myrcia multipunctata
Myrcia pubescens
Eugenia handroana
Solanum diploconos
Eugenia pistaciifolia
Myrcia mischophylla
Myrciaria glanduliflora
Myrcia laruotteana
Eugenia itajurensis
Pimenta pseudocaryophyllus
Prockia crucis
Xylopia aromatica
Styrax leprosus
Cheiloclinium cognatum
Myrcia subsericea
Myrcia crocea
Eugenia robustovenosa
Myrceugenia alpigena
Myrcia montana
Siphoneugena delicata
Blepharocalyx salicifolius
Eugenia involucrata
Myrciaria floribunda
Myrcia subavenia
Eugenia modesta
Psidium myrtoides
Myrcia multiflora
Psidium oblongatum
Eugenia sonderiana
NA
Zeyheria tuberculosa
Myrcia concisa
Eugenia laruotteana
Pseudobombax grandiflorum
Myrcia eumecephylla
Diospyros apeibacarpos
Jacaranda pulcherrima
Guatteria pogonopus
Sparattosperma leucanthum
Swartzia apetala
Myrcia teresensis
Psychotria cupularis
Ravenia infelix
Pseudima frutescens
Funifera grandifolia
Andradea floribunda
Psychotria subspathulata
Vernonanthura divaricata
Diplusodon virgatus
Leandra fallacissima
Coussarea leptopus
Cordia taguahyensis
Miconia rubiginosa
Tabebuia elliptica
Lychnophora ericoides
Myrcia lasiantha
Leandra aurea
Abarema filamentosa
Erythrina verna
Joannesia princeps
Handroanthus vellosoi
Cordia trichotoma
Tabernaemontana salzmannii
Guatteria pohliana
Cecropia glaziovii
Guatteria tomentosa
Cecropia hololeuca
Bougainvillea spectabilis
Eriobotrya japonica
Carica papaya
Artocarpus heterophyllus
Gymnanthemum amygdalinum
Ilex paraguariensis
Solanum bullatum
Ficus gomelleira
Ficus pertusa
Ilex conocarpa
Xylopia decorticans
Tabernaemontana catharinensis
Triplaris americana
Duguetia chrysocarpa
Oxandra espintana
Emmotum nitens
Miconia chartacea
Caryocar edule
Solanum warmingii
Siparuna guianensis
Tovomita fructipendula
Roupala montana
Miconia polyandra
Coussapoa floccosa
Diploon cuspidatum
Agarista eucalyptoides
Alchornea triplinervia
Nectandra oppositifolia
Paratecoma peroba
Qualea multiflora
Cassia ferruginea
Chamaecrista dentata
Neoraputia alba
Diatenopteryx grazielae
Myrcia amplexicaulis
Sorocea guilleminiana
Hirtella bahiensis
Matayba marginata
Paradrypetes ilicifolia
Handroanthus cristatus
Miconia sellowiana
Trichilia pseudostipularis
Protium warmingianum
Lafoensia vandelliana
Inga flagelliformis
Miconia ibaguensis
Hololepis pedunculata
Melicoccus espiritosantensis
Myrcia ilheosensis
Grazielodendron rio-docensis
Miconia corallina
Inga ingoides
Dalbergia glaucescens
Deguelia hatschbachii
Solanum sooretamum
Myrcia rufipes
Vataireopsis araroba
Machaerium caratinganum
Centrolobium microchaete
Machaerium ruddianum
Lychnophora pinaster
Senna macranthera
Vatairea macrocarpa
Poecilanthe falcata
Myrcia vellozoi
Myrcia variabilis
Inga thibaudiana
Myrcia lutescens
Eugenia ligustrina
Eugenia florida
Siphoneugena dussii
Myrcia vauthiereana
Myrcia hartwegiana
Solanum cernuum
Vochysia thyrsoidea
Schinus terebinthifolia
Annona muricata
Syzygium cumini
Siparuna brasiliensis
Bathysa australis
Euplassa rufa
Solanum swartzianum
Symplocos celastrinea
Solanum pseudoquina
Solanum mauritianum
Solanum lycocarpum
Byrsonima crassifolia
NA
Araucaria angustifolia
Plinia peruviana
Miconia theaezans
Pleroma candolleanum
Diospyros kaki
Sapium glandulosum
Vernonanthura discolor
Ilex theezans
Handroanthus albus
Urera baccifera
Solanum betaceum
Citrus reticulata
Syzygium jambos
Averrhoa carambola
Trembleya laniflora
Eremanthus crotonoides
Berberis laurina
Cestrum schlechtendalii
Cyathea dichromatolepis
Cyathea corcovadensis
Miconia longicuspis
Inga sessilis
Hirtella floribunda
Ocotea nutans
Ilex euryaeformis
Hedyosmum brasiliense
Vismia parviflora
Cupania vernalis
Miconia valtheri
Aegiphila integrifolia
Cyathea villosa
Sambucus australis
Citrus ×limon
Inga vulpina
Eremanthus glomerulatus
NA
NA
Ricinus communis
NA
Mangifera indica
Pereskia grandifolia
Calliandra tweedii
Persea americana
NA
Citrus ×aurantium
Stryphnodendron polyphyllum
Inga barbata
Siphoneugena crassifolia
Hymenaea courbaril
Urera caracasana
Erythroxylum deciduum
Senegalia polyphylla
Inga vera
Palicourea blanchetiana
Alseis floribunda
Lonchocarpus cultratus
Vernonanthura petiolaris
Myrcia subalpestris
Dalbergia miscolobium
Aloysia virgata
Ocotea glomerata
Austrocritonia angulicaulis
Couepia monteclarensis
Miconia nervosa
Xylosma benthamii
Campomanesia guazumifolia
Andira ormosioides
Xylosma prockia
Myrcia plusiantha
Schizocalyx cuspidatus
Wunderlichia azulensis
Tontelea passiflora
Miconia flammea
Seguieria langsdorffii
Ficus obtusiuscula
Parapiptadenia pterosperma
Anadenanthera peregrina
Rudgea minor
Persea rufotomentosa
Trichilia magnifoliola
Miconia pusilliflora
Bunchosia macilenta
Inga striata
Cordia trichoclada
Myrcia cerqueiria
Pavonia alnifolia
Bauhinia forficata
Cyathea phalerata
Verbesina glabrata
Sorocea racemosa
Meliosma sellowii
Abarema barnebyana
Macrotorus utriculatus
Hirtella insignis
Anadenanthera colubrina
Senna cana
Allophylus semidentatus
Amburana cearensis
Erythroxylum citrifolium
Cnidoscolus oligandrus
Pachystroma longifolium
Euphorbia comosa
Licaria debilis
Guarea guidonia
Clusia aemygdioi
Tabebuia reticulata
Clusia melchiorii
Picramnia glazioviana
Leandra quinquenodis
NA
Pilocarpus spicatus
Sorocea hilarii
Manihot tripartita
Guatteria campestris
NA
Lecythis pisonis
Dalbergia nigra
Pourouma guianensis
Crateva tapia
Sloanea hirsuta
Eugenia melanogyna
Pavonia crassipedicellata
Mollinedia glabra
Pradosia lactescens
Myrcia ferruginosa
Senegalia irwinii
Ternstroemia cuneifolia
Brasiliopuntia brasiliensis
Capparidastrum frondosum
Casearia decandra
Zanthoxylum tingoassuiba
Casearia oblongifolia
Moquiniastrum polymorphum
Baccharis montana
Pisonia ambigua
Eriotheca saxicola
Beilschmiedia taubertiana
Thyrsodium spruceanum
Myrcia pubiflora
Cordia trachyphylla
Bixa arborea
Pterygota brasiliensis
Neomitranthes stictophylla
Dictyoloma vandellianum
Inga hispida
Ocotea daphnifolia
Eugenia pauciflora
Ceiba erianthos
Chamaecrista zygophylloides
Cupania rugosa
Pseudobombax petropolitanum
Myrcia fenzliana
Sloanea garckeana
Clusia organensis
Swartzia linharensis
Albizia polycephala
Nectandra reticulata
Henriettea glabra
Pachira glabra
Kielmeyera occhioniana
Neomitranthes warmingiana
Miconia prasina
Campomanesia eugenioides
Pterogyne nitens
Gallesia integrifolia
Peltophorum dubium
Genipa americana
Erythroxylum subracemosum
Genipa infundibuliformis
Garcinia brasiliensis
Clusia spiritu-sanctensis
Pseudoxandra spiritus-sancti
Plinia pseudodichasiantha
Psidium ovale
Solanum asperum
Guatteria capixabae
Rudgea nodosa
Cupania racemosa
Pouteria durlandii
Pouteria gardneri
Chomelia tristis
Annona sylvatica
Miconia mirabilis
Byrsonima nitidifolia
Merianthera pulchra
Miconia ligustroides
Annona cacans
Ocotea ciliata
Siparuna cymosa
Guettarda viburnoides
Myrcia tomentosa
Eugenia francavilleana
Myrcia mutabilis
Myrsine venosa
Ilex dumosa
Eugenia bahiensis
Machaerium robsonnianum
Eugenia plicatocostata
Spondias tuberosa
Ficus adhatodifolia
Inga subnuda
Dodonaea viscosa
Myrsine hermogenesii
Ocotea catharinensis
Ocotea indecora
Rauia resinosa
Annona dolabripetala
Eugenia valsuganana
Spondias venulosa
Esenbeckia febrifuga
Eugenia egensis
Pogonophora schomburgkiana
Leandra amplexicaulis
Miconia fasciculata
Ossaea suprabasalis
Miconia cinnamomifolia
Eugenia excelsa
Rudgea interrupta
Ormosia arborea
Meriania calophylla
Myrciaria tenella
Ouratea vaccinioides
Allophylus edulis
Esenbeckia grandiflora
