"search.str";"lat";"lon"
"Myrcia nobilis";-18,939167;-43,411944
"Eugenia espinhacensis";-18,571389;-43,344167
"Diplotropis ferruginea";-18,571389;-43,344167
"Eugenia excoriata";-19,156111;-40,37
"Psidium grazielae";-19,155833;-40,37
"Eremanthus incanus";-19,009167;-43,396389
"Myrcia hebepetala";-19,003333;-43,392778
"Eugenia nutans";-19,008333;-43,388056
"Siphoneugena densiflora";-19,002778;-43,391944
"Myrcia spectabilis";-20,430833;-43,370556
"Miconia latecrenata";-20,430833;-43,370556
"Eremanthus erythropappus";-20,135;-43,486944
"Trembleya pentagona";-20,135;-43,486944
"Ocotea divaricata";-19,806111;-42,539444
"Peritassa flaviflora";-20,208444;-43,437056
"Monteverdia obtusifolia";-19,391389;-40,072222
"Ocotea odorifera";-19,936722;-40,687889
"Monteverdia gonoclada";-20,098433;-43,490833
"Pera heteranthera";-19,805;-42,543056
"Monteverdia longifolia";-19,546111;-40,325556
"Rhodostemonodaphne macrocalyx";-19,281667;-40,461944
"Neoraputia magnifica";-19,33;-40,05
"Erythroxylum passerinum";-19,3949002236543;-40,071853011446
"Solanum melissarum";-19,3949002236543;-40,071853011446
"Lecythis lurida";-18,9028;-40,81692
"Ampelocera glabra";-19,3949002236543;-40,071853011446
"Vismia micrantha";-20,1263;-43,492778
"Vitex sellowiana";-20,761343;-42,868031
"Monteverdia radlkoferiana";-20,1263;-43,492778
"Tetrastylidium grandifolium";-19,67;-41,83
"Lecythis lanceolata";-19,41122;-43,42247
"Ladenbergia hexandra";-19,3949002236543;-40,071853011446
"Galipea jasminiflora";-18,8548899476916;-41,9492794672852
"Guatteria australis";-19,22;-40,63
"Couepia carautae";-19,3949002236543;-40,071853011446
"Dalbergia foliolosa";-19,8;-42,62
"Jacaranda obovata";-19,3949002236543;-40,071853011446
"Lychnophora sellowii";-18,9;-43,4
"Myrcia tenuifolia";-19,2472;-39,96153
"Guarea blanchetii";-19,28;-40,2
"Eugenia dichroma";-19,3949002236543;-40,071853011446
"Wunderlichia mirabilis";-18,1422;-43,0594
"Campomanesia simulans";-20,499028;-43,621528
"Eugenia tenuipedunculata";-19,396361;-43,402056
"Myrcia obovata";-20,627722;-42,420639
"Myrcia floridissima";-19,749444;-42,481111
"Eugenia cymatodes";-18,984722;-40,739167
"Myrcia multipunctata";-20,525361;-43,633667
"Myrcia pubescens";-21,153556;-43,603417
"Eugenia handroana";-21,153556;-43,603417
"Eugenia pistaciifolia";-18,996111;-40,653611
"Myrcia mischophylla";-19,889722;-43,364444
"Myrciaria glanduliflora";-19,838889;-43,3225
"Eugenia itajurensis";-19,890278;-43,368333
"Pimenta pseudocaryophyllus";-19,890278;-43,368333
"Myrcia subsericea";-19,348333;-40,561111
"Myrcia crocea";-19,416667;-42,528333
"Eugenia robustovenosa";-19,361111;-42,605
"Myrceugenia alpigena";-20,413278;-41,814917
"Myrcia montana";-20,412861;-42,550278
"Siphoneugena delicata";-20,644583;-42,417306
"Myrcia subavenia";-20,129167;-43,515
