spp
Machaerium caratinganum
Machaerium ruddianum
Lychnophora pinaster
Poecilanthe falcata
Myrcia vellozoi
Myrcia variabilis
Myrcia lutescens
Eugenia florida
Myrcia vauthiereana
Myrcia hartwegiana
Solanum cernuum
Vochysia thyrsoidea
Siparuna brasiliensis
Euplassa rufa
Pleroma candolleanum
Trembleya laniflora
Eremanthus crotonoides
Cyathea dichromatolepis
Cyathea corcovadensis
Miconia longicuspis
Inga sessilis
Hirtella floribunda
Ocotea nutans
Ilex euryaeformis
Vismia parviflora
Miconia valtheri
Inga vulpina
Eremanthus glomerulatus
Pereskia grandifolia
Stryphnodendron polyphyllum
Inga barbata
Siphoneugena crassifolia
Palicourea blanchetiana
Vernonanthura petiolaris
Dalbergia miscolobium
Austrocritonia angulicaulis
Couepia monteclarensis
Miconia nervosa
Andira ormosioides
Myrcia plusiantha
Schizocalyx cuspidatus
Wunderlichia azulensis
Miconia flammea
Seguieria langsdorffii
Parapiptadenia pterosperma
Rudgea minor
Persea rufotomentosa
Trichilia magnifoliola
Bunchosia macilenta
Cordia trichoclada
Myrcia cerqueiria
Pavonia alnifolia
Cyathea phalerata
Sorocea racemosa
Meliosma sellowii
Abarema barnebyana
Macrotorus utriculatus
Hirtella insignis
Cnidoscolus oligandrus
Clusia aemygdioi
Tabebuia reticulata
Clusia melchiorii
Picramnia glazioviana
Leandra quinquenodis
Pilocarpus spicatus
Sorocea hilarii
Manihot tripartita
Guatteria campestris
Lecythis pisonis
Dalbergia nigra
Sloanea hirsuta
Eugenia melanogyna
Pavonia crassipedicellata
Mollinedia glabra
Pradosia lactescens
Myrcia ferruginosa
Senegalia irwinii
Ternstroemia cuneifolia
Zanthoxylum tingoassuiba
Casearia oblongifolia
Eriotheca saxicola
Beilschmiedia taubertiana
Myrcia pubiflora
Cordia trachyphylla
Pterygota brasiliensis
Neomitranthes stictophylla
Inga hispida
Ocotea daphnifolia
Eugenia pauciflora
Ceiba erianthos
Cupania rugosa
Pseudobombax petropolitanum
Clusia organensis
Swartzia linharensis
Albizia polycephala
Henriettea glabra
Kielmeyera occhioniana
Neomitranthes warmingiana
Campomanesia eugenioides
Gallesia integrifolia
Genipa infundibuliformis
Garcinia brasiliensis
Clusia spiritu-sanctensis
Pseudoxandra spiritus-sancti
Plinia pseudodichasiantha
Psidium ovale
Guatteria capixabae
Rudgea nodosa
Cupania racemosa
Chomelia tristis
Annona sylvatica
Byrsonima nitidifolia
Merianthera pulchra
Miconia ligustroides
Ocotea ciliata
Siparuna cymosa
Eugenia francavilleana
Myrcia mutabilis
Myrsine venosa
Eugenia bahiensis
Machaerium robsonnianum
Eugenia plicatocostata
Spondias tuberosa
Inga subnuda
Myrsine hermogenesii
Ocotea indecora
Annona dolabripetala
Eugenia valsuganana
Spondias venulosa
Leandra amplexicaulis
Miconia fasciculata
Ossaea suprabasalis
Miconia cinnamomifolia
Rudgea interrupta
Ormosia arborea
Meriania calophylla
Ouratea vaccinioides
Merianthera verrucosa
Nectandra grandiflora
Tontelea miersii
Monteverdia distichophylla
Eugenia zuccarinii
Salacia grandifolia
Myrcia basicordata
Allophylus leucoclados
Bauhinia ovata
Eugenia astringens
Chrysophyllum januariense
Spondias expeditionaria
Ficus cyclophylla
Machaerium fulvovenosum
Couratari asterotricha
Centrolobium tomentosum
Handroanthus bureavii
Handroanthus pedicellatus
Pleroma fissinervium
Rustia formosa
Tabebuia obtusifolia
Cnidoscolus hamosus
Melanoxylon brauna
Molopanthera paniculata
Eugenia ischnosceles
Esenbeckia leiocarpa
Dimorphandra jorgei
Ficus hirsuta
Miconia trianae
Trichilia casaretti
Machaerium pedicellatum
Lonchocarpus praecox
Kielmeyera membranacea
Pouteria butyrocarpa
Ficus eximia
Ficus holosericea
Solanum rufescens
Leandra variabilis
Lacmellea pauciflora
Clusia mexiae
Cupania rigida
Myrceugenia scutellata
Ficus laureola
Ouratea parviflora
Unonopsis sanctae-teresae
Miconia atlantica
Tovomita riedeliana
Eugenia prasina
Posoqueria acutifolia
Dalbergia elegans
Pleroma arboreum
Pseudopiptadenia schumanniana
Eugenia xiriricana
Heteropterys byrsonimifolia
Aiouea saligna
Mollinedia schottiana
Cordia toqueve
Tontelea corcovadensis
Aspidosperma illustre
Ocotea glaziovii
Enterolobium glaziovii
Vitex schaueriana
Guapira graciliflora
Guapira hirsuta
Faramea stipulacea
Myrcia crassa
Psidium oligospermum
Eugenia brasiliensis
Ximenia coriacea
Marcgraviastrum cuneifolium
Mollinedia argyrogyna
Platycyamus regnellii
Agarista oleifolia
Jacaranda puberula
Campomanesia macrobracteolata
Qualea cryptantha
Kerianthera longiflora
Senegalia giganticarpa
Eugenia batingabranca
Bathysa mendoncaei
Eugenia monosperma
Pleroma fragae
Verbesina floribunda
Ficus enormis
Aegiphila obducta
Inga exfoliata
Meliosma chartacea
Myrcia bergiana
Banara brasiliensis
Vochysia magnifica
Eriotheca macrophylla
Mollinedia gilgiana
Phyllanthus cladotrichus
Aiouea glaziovii
Myrcia grandifolia
Myrcia racemosa
Aniba firmula
Guarea gracilis
Miconia cubatanensis
Rudgea coronata
Ocotea silvestris
Ocotea spixiana
Myrcia tenuivenosa
Eugenia fusca
Myrcia verrucosa
Myrcia vittoriana
Myrcia santateresana
Eugenia subundulata
Annona xylopiifolia
Casearia lasiophylla
Inga unica
Eugenia adenantha
Picramnia ciliata
Erythroxylum pulchrum
Byrsonima cacaophila
Casearia selloana
Myrcia riodocensis
Monteverdia ardisiifolia
Campomanesia espiritosantensis
Couepia venosa
Guapira venosa
Conchocarpus diadematus
Cupania crassifolia
Eugenia sulcata
Myrcia sucrei
Eugenia sobraliana
Casearia commersoniana
Cupania emarginata
Mollinedia engleriana
Myrcia bicolor
Pseudopiptadenia bahiana
Xylopia laevigata
Spirotheca rivieri
Anaxagorea silvatica
Hornschuchia myrtillus
Micropholis crassipedicellata
Coussarea ilheotica
Picramnia ramiflora
Miconia octopetala
Eugenia platyphylla
Pavonia calyculosa
Pilocarpus riedelianus
Eugenia neosilvestris
Casearia luetzelburgii
Tontelea tenuicula
Ocotea tenuiflora
Miconia caudigera
Pilocarpus pauciflorus
Machaerium cantarellianum
Mouriri chamissoana
Cordia rufescens
Amaioua pilosa
Miconia dorsaliporosa
Miconia petroniana
Miconia capixaba
Miconia brasiliensis
Erythroxylum cuspidifolium
Byrsonima vernicosa
Myrciaria disticha
Vochysia santaluciae
Byrsonima alvimii
Piptocarpha robusta
Hyptidendron leucophyllum
Myrcia aurea
Cordia superba
Myrcia curtipendula
Hirtella angustifolia
Vismia magnoliifolia
Abarema brachystachya
Myrceugenia myrcioides
Ilex integerrima
Eugenia sphenophylla
Persea venosa
Solanum argenteum
Peritassa sadleri
Coccoloba salicifolia
Campomanesia schlechtendaliana
Vantanea obovata
Kielmeyera petiolaris
Aniba canelilla
Beilschmiedia vestita
Myrcia isaiana
Myrcia retorta
Myrcia ovata
Croton celtidifolius
Byrsonima gardneriana
Eugenia macrantha
Huberia glazioviana
Bunchosia maritima
Himatanthus bracteatus
Meriania claussenii
Rudgea umbrosa
Acritopappus confertus
Chusquea urelytra
Tachigali rugosa
Ocotea calliscypha
